,CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
CO(GT),1.0,0.7769477560442807,0.8088565427372119,0.795959374583005,0.7804629362059052,-0.6193183145878766,0.6560016491796224,0.5484813569733002,0.7635130316356493,0.006049053174219824,0.04113703214253414,0.022863915545349424
PT08.S1(CO),0.7769477560442807,1.0,0.8838707507358912,0.8929886060471015,0.6225492968499343,-0.7705435360756769,0.5634417261963637,0.6823629150084793,0.8994173154842042,0.04898505086271889,0.1144001169135696,0.13572782055235952
C6H6(GT),0.8088565427372119,0.8838707507358912,1.0,0.9815963091973531,0.6161487708882131,-0.7335029688857926,0.5333131867153466,0.7645783858928306,0.8657107308811516,0.199273294684575,-0.061811929102018166,0.1684809381143755
PT08.S2(NMHC),0.795959374583005,0.8929886060471015,0.9815963091973531,1.0,0.6061792642397568,-0.7957916325611606,0.561937738010554,0.7769686530112575,0.880633091918831,0.2415557155224585,-0.0904500711663983,0.18719566587781508
NOx(GT),0.7804629362059052,0.6225492968499343,0.6161487708882131,0.6061792642397568,1.0,-0.5724398600143538,0.7607157427371359,0.2008247948668863,0.6948225742764012,-0.2457081846469311,0.18393973490417698,-0.1482860378488041
PT08.S3(NOx),-0.6193183145878766,-0.7705435360756769,-0.7335029688857926,-0.7957916325611606,-0.5724398600143538,1.0,-0.574180760335777,-0.5384124157048139,-0.7953370203156689,-0.14480191024079644,-0.05681925679333274,-0.23159694953057247
NO2(GT),0.6560016491796224,0.5634417261963637,0.5333131867153466,0.561937738010554,0.7607157427371359,-0.574180760335777,1.0,0.1399857255577118,0.6304254003775759,-0.1693801037473313,-0.08213458599682573,-0.2982057566627815
PT08.S4(NO2),0.5484813569733002,0.6823629150084793,0.7645783858928306,0.7769686530112575,0.2008247948668863,-0.5384124157048139,0.1399857255577118,1.0,0.5907641013911152,0.5611831666506123,-0.03217158167388754,0.6295112288945051
PT08.S5(O3),0.7635130316356493,0.8994173154842042,0.8657107308811516,0.880633091918831,0.6948225742764012,-0.7953370203156689,0.6304254003775759,0.5907641013911152,1.0,-0.026813660670454546,0.12477592625356677,0.07115104709589712
T,0.006049053174219824,0.04898505086271889,0.199273294684575,0.2415557155224585,-0.2457081846469311,-0.14480191024079644,-0.1693801037473313,0.5611831666506123,-0.026813660670454546,1.0,-0.5786253306560418,0.6564524923855126
RH,0.04113703214253414,0.1144001169135696,-0.061811929102018166,-0.0904500711663983,0.18393973490417698,-0.05681925679333274,-0.08213458599682573,-0.03217158167388754,0.12477592625356677,-0.5786253306560418,1.0,0.16788951687775241
AH,0.022863915545349424,0.13572782055235952,0.1684809381143755,0.18719566587781508,-0.1482860378488041,-0.23159694953057247,-0.2982057566627815,0.6295112288945051,0.07115104709589712,0.6564524923855126,0.16788951687775241,1.0
