,count,mean,median,std,min,25%,50%,75%,max
CO(GT),9357.0,2.09,1.8,1.32,0.1,1.2,1.8,2.6,11.9
PT08.S1(CO),9357.0,1098.39,1063.0,212.91,647.0,941.0,1063.0,1221.0,2040.0
C6H6(GT),9357.0,10.01,8.2,7.31,0.1,4.6,8.2,13.6,63.7
PT08.S2(NMHC),9357.0,937.97,909.0,261.63,383.0,743.0,909.0,1105.0,2214.0
NOx(GT),9357.0,235.18,180.0,195.09,2.0,112.0,180.0,284.0,1479.0
PT08.S3(NOx),9357.0,834.34,806.0,251.81,322.0,666.0,806.0,960.0,2683.0
NO2(GT),9357.0,112.37,109.0,43.95,2.0,86.0,109.0,133.0,340.0
PT08.S4(NO2),9357.0,1456.53,1463.0,339.37,551.0,1242.0,1463.0,1662.0,2775.0
PT08.S5(O3),9357.0,1020.56,963.0,390.78,221.0,742.0,963.0,1255.0,2523.0
T,9357.0,18.3,17.8,8.66,-1.9,12.0,17.8,24.1,44.6
RH,9357.0,49.25,49.6,16.97,9.2,36.6,49.6,61.9,88.7
AH,9357.0,1.02,1.0,0.4,0.18,0.75,1.0,1.3,2.23
