Hour,CO(GT),NOx(GT),NO2(GT)
0,1.7882051282051281,188.97692307692307,104.1076923076923
1,1.524871794871795,160.5871794871795,93.15897435897436
2,1.2248717948717949,127.71538461538462,80.42820512820512
3,1.070769230769231,175.63846153846154,107.07435897435897
4,1.3220512820512822,95.85384615384615,66.11282051282052
5,0.9164102564102563,100.42307692307692,66.83076923076923
6,1.0792307692307692,133.4897435897436,77.0923076923077
7,1.808974358974359,218.21794871794873,96.76153846153846
8,2.6399999999999997,318.95897435897433,119.31794871794872
9,2.7830769230769232,335.2897435897436,127.67948717948718
10,2.442051282051282,317.41282051282053,130.26153846153846
11,2.184102564102564,288.5205128205128,127.33846153846154
12,2.108974358974359,259.93589743589746,122.27692307692308
13,2.1353846153846154,242.57692307692307,117.8051282051282
14,2.0725641025641024,234.0076923076923,115.37692307692308
15,2.0082262210796915,230.3573264781491,116.03341902313625
16,2.1953727506426737,250.07197943444731,121.32390745501286
17,2.6647814910025707,290.92287917737787,132.2210796915167
18,3.1971794871794876,327.0282051282051,140.80769230769232
19,3.4556410256410257,338.9974358974359,144.5076923076923
20,3.225128205128205,326.11538461538464,140.21025641025642
21,2.4817948717948717,274.22564102564104,127.87692307692308
22,1.9497435897435897,213.78205128205127,114.23589743589744
23,1.8653846153846154,195.35641025641024,108.2025641025641
