Month,CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
1,2.104435483870968,1107.0201612903227,8.956989247311828,893.1680107526881,342.05913978494624,793.6491935483871,133.6034946236559,1178.8548387096773,1086.5389784946237,9.007930107526882,55.995161290322585,0.6646387096774193
2,2.0922619047619047,1084.8988095238096,7.579910714285714,849.7886904761905,309.01488095238096,793.5639880952381,158.38690476190476,1103.4479166666667,1024.3988095238096,8.322172619047619,51.80267857142857,0.5715111607142858
3,2.133652312599681,1176.7711323763956,9.218580542264753,907.2886762360447,241.52153110047846,839.5318979266348,122.90988835725678,1366.547846889952,1060.7424242424242,13.699122807017545,50.607097288676236,0.7850275119617225
4,2.046468401486989,1136.9628252788104,9.657868649318463,920.8624535315985,155.60223048327137,927.3940520446097,101.69392812887237,1537.4213135068153,964.1697645600991,16.81908302354399,49.02998760842627,0.8910168525402726
5,1.9114247311827957,1076.407258064516,10.181048387096775,950.3024193548387,133.48790322580646,944.8319892473119,96.25940860215054,1598.502688172043,928.861559139785,20.234543010752688,43.656317204301075,0.9580487903225807
6,1.8894444444444445,1023.0208333333334,10.469305555555556,963.3513888888889,127.77777777777777,895.4819444444445,95.57638888888889,1708.6875,938.9513888888889,26.018611111111113,40.36527777777778,1.2606029166666666
7,1.7887096774193547,1046.4569892473119,10.596236559139786,971.3965053763441,129.04435483870967,804.888440860215,104.33736559139786,1643.5806451612902,994.4099462365591,29.403494623655916,33.07647849462366,1.2423783602150538
8,1.4666666666666668,986.4569892473119,7.073118279569892,843.1290322580645,109.73924731182795,833.885752688172,82.80376344086021,1573.1733870967741,789.6102150537635,28.384139784946235,43.41518817204301,1.5783350806451615
9,2.08125,1081.0972222222222,11.470694444444444,991.3958333333334,242.01944444444445,810.3,108.4125,1544.6347222222223,1034.5958333333333,24.44986111111111,44.132083333333334,1.2781744444444445
10,2.2884408602150534,1184.75,13.518145161290322,1058.2325268817203,262.18951612903226,688.2983870967741,99.0,1636.7163978494623,1163.5806451612902,20.493951612903224,61.89435483870968,1.4634556451612901
11,2.6350000000000002,1132.1486111111112,12.511805555555556,1011.2013888888889,403.1611111111111,789.8805555555556,121.36666666666666,1372.2347222222222,1171.3541666666667,13.485416666666667,59.274861111111115,0.9399911111111111
12,2.618279569892473,1084.518817204301,9.359139784946237,914.4233870967741,378.24059139784947,874.7513440860215,121.88440860215054,1243.4529569892472,1069.8293010752689,11.856854838709678,56.938844086021504,0.8036477150537634
