Variable,Q1,Q3,IQR,Lower Bound,Upper Bound,Outlier Count,Outlier Percentage
NOx(GT),112.0,284.0,172.0,-146.0,542.0,778,8.31
CO(GT),1.2,2.6,1.4000000000000001,-0.9000000000000001,4.7,454,4.85
NO2(GT),86.0,133.0,47.0,15.5,203.5,380,4.06
C6H6(GT),4.6,13.6,9.0,-8.9,27.1,286,3.06
PT08.S3(NOx),666.0,960.0,294.0,225.0,1401.0,278,2.97
PT08.S1(CO),941.0,1221.0,280.0,521.0,1641.0,145,1.55
PT08.S5(O3),742.0,1255.0,513.0,-27.5,2024.5,131,1.4
PT08.S4(NO2),1242.0,1662.0,420.0,612.0,2292.0,131,1.4
PT08.S2(NMHC),743.0,1105.0,362.0,200.0,1648.0,91,0.97
T,12.0,24.1,12.100000000000001,-6.150000000000002,42.25,10,0.11
AH,0.7461,1.2962,0.5501,-0.07905000000000006,2.12135,7,0.07
RH,36.6,61.9,25.299999999999997,-1.3499999999999943,99.85,0,0.0
